Record;Type;Sample Name;Measurement Date and Time;T;Z-Ave;PdI;Pk 1 Mean Int;Pk 2 Mean Int;Pk 3 Mean Int;Pk 1 Area Int;Pk 2 Area Int;Pk 3 Area Int;Aggregation Index;Scattering Angle;C(SR3), g/L;C(DNA), g/L;c(HA), g/L
282;Size;5(3.5) 2;3. toukokuuta 2024 12:25:50;24,9;1651;0,453;1054;4372;0;60,8;39,2;0;;173;0,1;0,067;0,1
283;Size;5(3.5) 3;3. toukokuuta 2024 12:28:03;25;1661;0,443;1260;5280;0;89,2;10,8;0;;173;0,1;0,067;0,1
299;Size;1(6.5) 1;6. toukokuuta 2024 13:09:45;25,1;2075;1;1168;0;0;100;0;0;;173;0,1;0,04;0,025
300;Size;1(6.5) 2;6. toukokuuta 2024 13:12:08;25;2267;1;1211;0;0;100;0;0;;173;0,1;0,04;0,025
301;Size;1(6.5) 3;6. toukokuuta 2024 13:14:31;24,9;2189;0,755;1179;0;0;100;0;0;;173;0,1;0,04;0,025
302;Size;2(6.5) 1;6. toukokuuta 2024 13:20:37;25,1;212,8;0,092;236;0;0;100;0;0;;173;0,1;0,02;0,025
303;Size;2(6.5) 2;6. toukokuuta 2024 13:22:40;25,1;211,5;0,112;238,3;0;0;100;0;0;;173;0,1;0,02;0,025
304;Size;2(6.5) 3;6. toukokuuta 2024 13:24:43;25,1;212;0,109;236,7;0;0;100;0;0;;173;0,1;0,02;0,025
305;Size;3(6.5) 1;6. toukokuuta 2024 13:31:28;25,1;185,4;0,236;235,9;0;0;100;0;0;;173;0,1;0,01;0,025
306;Size;3(6.5) 2;6. toukokuuta 2024 13:33:31;25;189,4;0,233;247,4;0;0;100;0;0;;173;0,1;0,01;0,025
307;Size;3(6.5) 3;6. toukokuuta 2024 13:35:34;25;189,3;0,26;258,1;0;0;100;0;0;;173;0,1;0,01;0,025
308;Size;4(6.5) 1;6. toukokuuta 2024 13:42:54;25,1;1790;0,674;447,2;0;0;100;0;0;;173;0,1;0,01;0,05
309;Size;4(6.5) 2;6. toukokuuta 2024 13:45:07;24,9;3078;0,192;656,9;0;0;100;0;0;;173;0,1;0,01;0,05
310;Size;4(6.5) 3;6. toukokuuta 2024 13:47:19;25;4090;0,9;833,8;0;0;100;0;0;;173;0,1;0,01;0,05
311;Size;1(6.5) 1;6. toukokuuta 2024 13:54:10;25;2259;1;817,6;0;0;100;0;0;;173;0,1;0,04;0,025
312;Size;1(6.5) 2;6. toukokuuta 2024 13:54:52;25,1;2465;1;896,9;0;0;100;0;0;;173;0,1;0,04;0,025
325;Size;4(6.5) 1;6. toukokuuta 2024 14:35:02;25,1;3487;1;396,1;0;0;100;0;0;;173;0,1;0,01;0,05
326;Size;4(6.5) 2;6. toukokuuta 2024 14:37:05;25;3100;1;420,8;0;0;100;0;0;;173;0,1;0,01;0,05
327;Size;4(6.5) 3;6. toukokuuta 2024 14:39:07;25;3371;1;295,3;0;0;100;0;0;;173;0,1;0,01;0,05
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
